subject_id,session_id,domain,position,word,language_type,rt_ms,x,y
10255,1qmxoH7jT7VECeLUVEKU,foods,14,tea,English,1506.9,0.577744914633382,0.18921727643723818
10255,1qmxoH7jT7VECeLUVEKU,foods,15,coffee,English,2101.8,0.5787293532354056,0.2480407926059388
95712,2kupFqWyVgUTsqisMsI7,colours,1,लाल,Hindi/Hinglish,8649.0,0.15297523835024987,0.8202130913471032
95712,2kupFqWyVgUTsqisMsI7,colours,2,नीला,Hindi/Hinglish,7806.0,0.340495584506052,0.8220986385512521
95712,2kupFqWyVgUTsqisMsI7,colours,3,पीला,Hindi/Hinglish,7872.0,0.2768810772299682,0.8204958543769245
95712,2kupFqWyVgUTsqisMsI7,colours,4,हरा,Hindi/Hinglish,9607.0,0.4644879071249416,0.8220986385512521
95712,2kupFqWyVgUTsqisMsI7,colours,5,भगवा,Hindi/Hinglish,8012.0,0.21311368072073913,0.8220986385512521
95712,2kupFqWyVgUTsqisMsI7,colours,6,नीला,Hindi/Hinglish,6640.0,0.40287645494990887,0.8220986385512521
95712,2kupFqWyVgUTsqisMsI7,colours,7,गुलाबी,Hindi/Hinglish,8142.0,0.526695996303018,0.823984185755401
95712,2kupFqWyVgUTsqisMsI7,foods,1,केला,Hindi/Hinglish,9992.0,0.27914827428186567,0.7278212783438074
95712,2kupFqWyVgUTsqisMsI7,foods,2,पोहा,Hindi/Hinglish,8169.0,0.3396642223722747,0.7297068255479562
95712,2kupFqWyVgUTsqisMsI7,foods,3,सेब,Hindi/Hinglish,6410.0,0.22664834956999866,0.7297068255479562
95712,2kupFqWyVgUTsqisMsI7,foods,4,डोसा,Hindi/Hinglish,9644.0,0.5447335911844186,0.733477919956254
95712,2kupFqWyVgUTsqisMsI7,foods,5,समोसा,Hindi/Hinglish,7617.0,0.4766712015736799,0.7318751357819265
95712,2kupFqWyVgUTsqisMsI7,foods,6,कचोरी,Hindi/Hinglish,8163.0,0.4031781485723318,0.7318751357819265
95712,2kupFqWyVgUTsqisMsI7,foods,7,मोशाम्बी,Hindi/Hinglish,9451.0,0.1501328599243376,0.7297068255479562
95712,2kupFqWyVgUTsqisMsI7,animals,1,कुत्ता,Hindi/Hinglish,9246.0,0.12984202467810774,0.8202130913471032
95712,2kupFqWyVgUTsqisMsI7,animals,2,बिल्ली,Hindi/Hinglish,7278.0,0.2569087912965081,0.8220986385512521
95712,2kupFqWyVgUTsqisMsI7,animals,3,सेर,Hindi/Hinglish,6688.0,0.3210066756810033,0.8258697329595498
95712,2kupFqWyVgUTsqisMsI7,animals,4,बाग़,Hindi/Hinglish,11987.0,0.36927844175351593,0.8258697329595498
95712,2kupFqWyVgUTsqisMsI7,animals,5,बन्दर,Hindi/Hinglish,17777.0,0.1938463555365176,0.8202130913471032
